GISJOIN,YEAR,STATE,STATEA,AREANAME,STATEICP,AWH001,AWH002
"G010","1890","Alabama","010","Alabama","41",1513017,1262505
"G045","1890","Arizona Territory","045","Arizona Territory","61",59620,40440
"G050","1890","Arkansas","050","Arkansas","42",1128179,802525
"G060","1890","California","060","California","71",1208130,864694
"G080","1890","Colorado","080","Colorado","62",412198,194327
"G090","1890","Connecticut","090","Connecticut","1",746258,622700
"G100","1890","Delaware","100","Delaware","11",168493,146608
"G110","1890","District Of Columbia","110","District of Columbia","98",230392,177624
"G120","1890","Florida","120","Florida","43",391422,269493
"G130","1890","Georgia","130","Georgia","44",1837353,1542180
"G160","1890","Idaho","160","Idaho","63",84385,32610
"G170","1890","Illinois","170","Illinois","21",3826351,3077871
"G180","1890","Indiana","180","Indiana","22",2192404,1978301
"G190","1890","Iowa","190","Iowa","31",1911896,1624615
"G200","1890","Kansas","200","Kansas","32",1427096,996096
"G210","1890","Kentucky","210","Kentucky","51",1858635,1648690
"G220","1890","Louisiana","220","Louisianna","45",1118587,939946
"G230","1890","Maine","230","Maine","2",661086,648936
"G240","1890","Maryland","240","Maryland","52",1042390,934943
"G250","1890","Massachusetts","250","Massachusetts","3",2238943,1783085
"G260","1890","Michigan","260","Michigan","23",2093889,1636937
"G270","1890","Minnesota","270","Minnesota","33",1301826,780773
"G280","1890","Mississippi","280","Mississippi","46",1289600,1131597
"G290","1890","Missouri","290","Missouri","34",2679184,2168380
"G300","1890","Montana","300","Montana","64",132159,39159
"G310","1890","Nebraska","310","Nebraska","35",1058910,452402
"G320","1890","Nevada","320","Nevada","65",45761,62266
"G330","1890","New Hampshire","330","New Hampshire","4",376530,346991
"G340","1890","New Jersey","340","New Jersey","12",1444933,1131116
"G355","1890","New Mexico Territory","355","New Mexico Territory","66",153593,119565
"G360","1890","New York","360","New York","13",5997853,5082871
"G370","1890","North Carolina","370","North Carolina","47",1617947,1399750
"G380","1890","North Dakota","380","North Dakota","36",182719,36909
"G390","1890","Ohio","390","Ohio","24",3672316,3198062
"G405","1890","Oklahoma Territory","405","Oklahoma Territory","53",61834,
"G410","1890","Oregon","410","Oregon","72",313767,174768
"G420","1890","Pennsylvania","420","Pennsylvania","14",5258014,4282891
"G440","1890","Rhode Island","440","Rhode Island","5",345506,276531
"G450","1890","South Carolina","450","South Carolina","48",1151149,995577
"G460","1890","South Dakota","460","South Dakota","37",328808,98268
"G470","1890","Tennessee","470","Tennessee","54",1767518,1542359
"G480","1890","Texas","480","Texas","49",2235523,1591749
"G495","1890","Utah Territory","495","Utah Territory","67",207905,143963
"G500","1890","Vermont","500","Vermont","6",332422,332286
"G510","1890","Virginia","510","Virginia","40",1655980,1512565
"G530","1890","Washington","530","Washington","73",349390,75116
"G540","1890","West Virginia","540","West Virginia","56",762794,618457
"G550","1890","Wisconsin","550","Wisconsin","25",1686880,1315497
"G560","1890","Wyoming","560","Wyoming","68",60705,20789
