GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,STATEICP,COUNTYICP,BDP001,BEQ001
"G010","1930","Alabama","010",,"Alabama","41","0",2646248,2646248
"G025","1930","Alaska Territory","025",,"Alaska Territory","81","0",59278,
"G040","1930","Arizona","040",,"Arizona","61","0",435573,435573
"G050","1930","Arkansas","050",,"Arkansas","42","0",1854482,1854482
"G060","1930","California","060",,"California","71","0",5677251,5677251
"G080","1930","Colorado","080",,"Colorado","62","0",1035791,1035791
"G090","1930","Connecticut","090",,"Connecticut","1","0",1606903,1606903
"G100","1930","Delaware","100",,"Delaware","11","0",238380,238380
"G110","1930","District Of Columbia","110",,"District of Columbia","98","0",486869,486869
"G120","1930","Florida","120",,"Florida","43","0",1468211,1468211
"G130","1930","Georgia","130",,"Georgia","44","0",2908506,2908506
"G155","1930","Hawaii Territory","155",,"Hawaii Territory","82","0",368336,
"G160","1930","Idaho","160",,"Idaho","63","0",445032,445032
"G170","1930","Illinois","170",,"Illinois","21","0",7630654,7630654
"G180","1930","Indiana","180",,"Indiana","22","0",3238503,3238503
"G190","1930","Iowa","190",,"Iowa","31","0",2470939,2470939
"G200","1930","Kansas","200",,"Kansas","32","0",1880999,1880999
"G210","1930","Kentucky","210",,"Kentucky","51","0",2614589,2614589
"G220","1930","Louisiana","220",,"Louisianna","45","0",2101593,2101593
"G230","1930","Maine","230",,"Maine","2","0",797423,797423
"G240","1930","Maryland","240",,"Maryland","52","0",1631526,1631526
"G250","1930","Massachusetts","250",,"Massachusetts","3","0",4249614,4249614
"G260","1930","Michigan","260",,"Michigan","23","0",4842325,4842325
"G270","1930","Minnesota","270",,"Minnesota","33","0",2563953,2563953
"G280","1930","Mississippi","280",,"Mississippi","46","0",2009821,2009821
"G290","1930","Missouri","290",,"Missouri","34","0",3629367,3629367
"G300","1930","Montana","300",,"Montana","64","0",537606,537606
"G310","1930","Nebraska","310",,"Nebraska","35","0",1377963,1377963
"G320","1930","Nevada","320",,"Nevada","65","0",91058,91058
"G330","1930","New Hampshire","330",,"New Hampshire","4","0",465293,465293
"G340","1930","New Jersey","340",,"New Jersey","12","0",4041334,4041334
"G350","1930","New Mexico","350",,"New Mexico","66","0",423317,423317
"G360","1930","New York","360",,"New York","13","0",12588066,12588066
"G370","1930","North Carolina","370",,"North Carolina","47","0",3170276,3170276
"G380","1930","North Dakota","380",,"North Dakota","36","0",680845,680845
"G390","1930","Ohio","390",,"Ohio","24","0",6646697,6646697
"G400","1930","Oklahoma","400",,"Oklahoma","53","0",2396040,2396040
"G410","1930","Oregon","410",,"Oregon","72","0",953786,953786
"G420","1930","Pennsylvania","420",,"Pennsylvania","14","0",9631350,9631350
"G440","1930","Rhode Island","440",,"Rhode Island","5","0",687497,687497
"G450","1930","South Carolina","450",,"South Carolina","48","0",1738765,1738765
"G460","1930","South Dakota","460",,"South Dakota","37","0",692849,692849
"G470","1930","Tennessee","470",,"Tennessee","54","0",2616556,2616556
"G480","1930","Texas","480",,"Texas","49","0",5824715,5824715
"G490","1930","Utah","490",,"Utah","67","0",507847,507847
"G500","1930","Vermont","500",,"Vermont","6","0",359611,359611
"G510","1930","Virginia","510",,"Virginia","40","0",2421851,2421851
"G530","1930","Washington","530",,"Washington","73","0",1563396,1563396
"G540","1930","West Virginia","540",,"West Virginia","56","0",1729205,1729205
"G550","1930","Wisconsin","550",,"Wisconsin","25","0",2939006,2939006
"G560","1930","Wyoming","560",,"Wyoming","68","0",225565,225565
